162067.944 2606485.113 0.065
162070.969 2606487.524 0.151
162078.386 2606487.092 0.1
162080.636 2606488.425 0.139
162086.983 2606484.801 0.082
162091.084 2606488.059 0.04
162099.497 2606484.784 0.028
162104.233 2606486.576 0.058
162108.839 2606486.931 0.052
162112.962 2606486.444 0.012
162117.228 2606488.397 0.607
162124.527 2606485.986 2.406
162128.337 2606487.426 2.419
162131.431 2606488.738 2.444
162139.027 2606487.106 2.484
162143.2 2606487.317 2.522
162146.4 2606488.776 2.534
162154.945 2606484.874 2.581
162155.397 2606489.37 2.608
162160.956 2606487.205 2.64
162169.149 2606486.427 2.709
162172.66 2606485.585 2.486
162176.41 2606485.391 2.599
162184.571 2606485.296 2.557
162186.852 2606485.291 2.521
162193.202 2606486.416 2.451
162197.358 2606486.645 2.482
162205.051 2606487.741 2.468
162209.772 2606488.35 2.44
162210.811 2606487.784 2.451
162217.451 2606485.729 2.472
162224.138 2606487.17 1.678
162228.575 2606484.957 0.54
162234.253 2606485.089 0.18
162236.904 2606487.065 -0.051
162241.026 2606484.768 0.074
159925.203 2606482.274 -0.207
159927.989 2606480.103 -0.137
159934.034 2606481.485 -0.195
159939.107 2606482.083 -0.202
159943.102 2606482.347 -0.162
159946.586 2606482.241 -0.096
159952.97 2606481.652 -0.06
159956.633 2606484.107 0.012
159963.469 2606479.952 0.067
159967.52 2606481.102 0.129
159970.798 2606481.391 0.179
159978.313 2606481.137 0.233
159982.584 2606483.193 0.287
159989.139 2606479.962 0.362
159992.443 2606482.104 0.43
159996.492 2606481.677 0.504
160001.437 2606483.125 0.559
160005.92 2606483.633 0.62
160011.285 2606481.543 0.705
160018.413 2606479.688 0.774
160024.867 2606482.442 0.846
160028.331 2606481.878 0.903
160033.657 2606482.366 0.985
160038.547 2606481.375 1.091
160044.125 2606479.818 1.208
160048.235 2606480.048 1.339
160053.874 2606480.577 1.466
160057.902 2606481.468 1.574
160062.25 2606482.732 1.699
160069.55 2606481.442 1.869
160072.859 2606479.895 1.881
160076.566 2606479.479 1.918
160081.711 2606479.465 1.982
160086.95 2606482.161 1.927
160094.977 2606482.021 1.987
160098.329 2606482.252 2.162
160102.184 2606482.587 2.266
160105.718 2606483.738 2.38
160112.293 2606481.193 2.291
160117.478 2606479.788 2.584
160121.408 2606483.779 2.639
160125.835 2606481.51 2.628
160131.329 2606483.062 2.613
160140.105 2606480.884 2.504
160143.96 2606482.814 2.6
160148.686 2606481.867 2.694
160152.395 2606483.479 2.684
160158.022 2606481.413 2.859
160164.109 2606482.528 3.039
160168.248 2606482.576 2.549
160174.681 2606481.934 2.433
160179.646 2606482.625 1.864
160185.329 2606480.985 1.954
160190.208 2606481.866 1.988
160194.016 2606480.156 2.144
160197.633 2606482.029 2.304
160203.286 2606482.446 1.738
160208.294 2606480.764 1.064
160213.869 2606480.318 1.018
160217.484 2606479.709 0.928
160220.997 2606482.582 0.865
160225.93 2606483.357 0.821
160232.844 2606482.475 0.764
160235.55 2606481.363 0.714
160241.241 2606479.743 0.687
160247.121 2606484.337 0.648
160253.112 2606480.998 0.545
160257.961 2606480.062 0.454
160264.852 2606483.516 0.433
160268.042 2606480.588 0.375
160270.661 2606479.923 0.302
160279.723 2606481.917 0.237
160284.552 2606483.271 0.173
160286.627 2606480.581 0.099
160294.625 2606482.521 0.004
160298.21 2606479.855 -0.055
160303.859 2606480.953 -0.078
162054.736 2606483.412 -0.106
162060.331 2606481.234 -0.082
162062.338 2606481.795 -0.052
